row_no	product_name	price_result	memo	product_cd	official_name	unit	candidates
4	ライトグレー	候補選択	似た候補があります。候補から選んでください。	89,2251			1|||FLD|||89|||FLD|||TFコート ライトグレー|||FLD|||TFコート ライトグレー|||FLD|||エイブルDB|||FLD|||12900|||FLD|||86|||FLD|||骨材入りエマルジョン塗料 / 骨材入りエマルジョン塗料|||FLD|||20kg／缶|||REC|||2|||FLD|||2251|||FLD|||フジカラートップ遮熱　ライトグレー|||FLD|||フジカラートップ遮熱 ライトグレー|||FLD|||エイブルDB|||FLD|||13700|||FLD|||81|||FLD|||遮熱塗料|||FLD|||15kg／缶
5							
6							
7							
8							
9							
10							
11							
12							
13							
14							
